,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,allmpnet,CLS_LYR-1,simple,CLS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,34.27407759515302,18.758562172550416,26.561395687745836,38.17537163222374,37.69159665817329,40.81394358213313,60.380267295754486,36.66503066053342
1,allmpnet,AVG_LYR-1,simple,AVG,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.228420138159855,59.67976102126647,67.94268030084565,74.90630773008546,72.0023091784832,73.60363635898992,83.41163977243045,69.96782207146586
2,allmpnet,SUM_LYR-1,simple,SUM,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.22842017578813,59.67976126855688,67.94268052392377,74.90630755483923,72.00231140234375,63.24304463666381,81.56912058214738,68.22452087775186
3,allmpnet,MAX_LYR-1,simple,MAX,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.39716883683019,50.69886187911475,65.13983167751411,65.9019563989695,64.9720004063149,71.39523723826949,82.76812264979738,65.46759701240147
4,allmpnet,AVG-NS_LYR-1,simple-ns,AVG-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.63902408643457,63.62098372524356,70.72745943488889,76.14024102738259,71.652510379074,73.99347880722216,80.88405042493272,70.95110684073977
5,allmpnet,SUM-NS_LYR-1,simple-ns,SUM-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.639024792747286,63.620985007239085,70.72745904367056,76.14024028826087,71.65250996042236,65.84812165823865,78.64246756404467,69.4672583306605
6,allmpnet,MAX-NS_LYR-1,simple-ns,MAX-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.38679008540763,43.22391615761981,61.135902623894935,60.91148038910956,53.64543028469053,66.96537920623544,78.22793968297493,59.78526263284755
7,allmpnet,CLS_LYR-2,simple,CLS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,24.367795964986847,14.188293653935698,21.74623104382405,16.146489506687494,23.90810200401429,50.44580711183431,60.79500897239595,30.228246893954093
8,allmpnet,AVG_LYR-2,simple,AVG,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.52702374397829,58.48740634862715,65.89004687900353,73.29897808619673,69.92264339876742,74.11671036548502,84.48619251833456,68.81842876291324
9,allmpnet,SUM_LYR-2,simple,SUM,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.52702378405668,58.48740502707347,65.89004943848322,73.29897658558352,69.92264312953147,60.70537866357901,81.63344817345757,66.49498925739498
10,allmpnet,MAX_LYR-2,simple,MAX,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.89925363722234,48.01858596733,64.04271323800107,64.89850460341697,62.02206273361094,71.19105771298705,83.30977450070951,64.05456462761113
11,allmpnet,AVG-NS_LYR-2,simple-ns,AVG-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.35075019108365,64.86315475272096,69.85990369946904,75.40519318488664,71.8803304003861,75.12617530269485,81.9974687116362,71.06899660612534
12,allmpnet,SUM-NS_LYR-2,simple-ns,SUM-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.350749829384654,64.86315317180065,69.85990370650362,75.40519252392109,71.88032984682526,64.33562705872002,79.96265678624877,69.23680184620058
13,allmpnet,MAX-NS_LYR-2,simple-ns,MAX-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,52.81042147662463,39.060979320807405,58.87921725361387,56.66194457251699,53.387932898298615,67.41867688077276,79.38073646201556,58.22855840923569
14,allmpnet,CLS_LYR-3,simple,CLS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,37.85920701944755,27.07023768255339,36.09946848051515,31.22882198906988,39.884134494177786,60.71275132271585,76.40063074129309,44.17932167568181
15,allmpnet,AVG_LYR-3,simple,AVG,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.80274788887666,59.04515560013096,65.21645183422258,73.29790693862734,69.78504609452642,76.1344722529759,84.75272561771837,69.14778660386833
16,allmpnet,SUM_LYR-3,simple,SUM,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.80274796302954,59.045156288676445,65.21645144680498,73.29790681724629,69.78504388801103,60.86894492314931,80.78755542590568,66.40054382183189
17,allmpnet,MAX_LYR-3,simple,MAX,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.89159707676482,48.0660866708477,64.90350076048797,65.99551627264499,64.73660552544015,72.15775359048733,83.84364249271768,65.08495748419867
18,allmpnet,AVG-NS_LYR-3,simple-ns,AVG-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.85947882125605,66.67423411875318,69.35803105511512,75.38039046990106,72.08342898219541,75.9460204528663,83.07873426526207,71.62575973790703
19,allmpnet,SUM-NS_LYR-3,simple-ns,SUM-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.85947846551611,66.67423391233442,69.35803072472268,75.38038976958563,72.08342894255122,67.09367846071626,81.20068987492452,70.09284716433584
20,allmpnet,MAX-NS_LYR-3,simple-ns,MAX-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.100520202255055,41.68070366640899,60.77654710872861,59.952144182148295,55.65905851791351,68.79076552651982,80.72274271944308,60.24035456048819
21,allmpnet,CLS_LYR-4,simple,CLS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,18.34696674775217,15.272109268431016,16.27783042546652,14.762152468628807,18.82005854376786,58.80654282039003,78.00266013129922,31.46976005796223
22,allmpnet,AVG_LYR-4,simple,AVG,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.94052577483762,60.19316660474819,65.86077660343567,74.03241941404684,71.00472361281254,77.04051525696549,85.09413313004544,70.16660862812739
23,allmpnet,SUM_LYR-4,simple,SUM,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.94052752144603,60.19316687963189,65.86077809015583,74.03241986489346,71.00472340156807,63.17860483642112,80.29904552719647,67.50132373161613
24,allmpnet,MAX_LYR-4,simple,MAX,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.07336962734215,51.56207695853588,66.99121809929038,68.60684560470011,69.20807262633669,72.54588604763555,84.79033127217282,67.53968574800194
25,allmpnet,AVG-NS_LYR-4,simple-ns,AVG-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.84448268665966,66.64513946298986,69.23432420415669,75.48040764747913,72.94033325469759,76.419003054101,83.94925997494333,72.07327861214675
26,allmpnet,SUM-NS_LYR-4,simple-ns,SUM-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.84448041425057,66.64513992715783,69.23432384627945,75.48040727485684,72.94033387844732,66.22265921026332,82.23606410474473,70.37191552228572
27,allmpnet,MAX-NS_LYR-4,simple-ns,MAX-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.846523104090686,38.647711497836674,58.84626897407568,54.42918978291852,55.55843226214612,69.71982279135159,81.87570512003863,59.13195050463684
28,allmpnet,CLS_LYR-5,simple,CLS,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,12.503935344563384,2.3359834744298027,10.826418228241051,3.2425645653131068,8.006403613615417,45.30254102650143,71.32091738499447,21.934109091094093
29,allmpnet,AVG_LYR-5,simple,AVG,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.9094069409561,60.04873965169102,65.72567820231107,74.30489376122725,72.11409499961314,78.2075997943952,85.03047432426409,70.62012681063683
30,allmpnet,SUM_LYR-5,simple,SUM,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.9094074874689,60.048741347548784,65.72567761831839,74.30489437651613,72.11409646806385,62.67541031920519,80.49691940682305,67.75359243199203
31,allmpnet,MAX_LYR-5,simple,MAX,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.8366898394132,51.94640155568894,67.33874473583371,69.36209169189802,70.85784512859718,73.49499147485196,84.99408068778695,68.26154930201
